5	header
postResults v2.0.2	--cr f,p --co totalshear geom_load.spectralOut
addCauchy v2.0.2	postProc/geom_load.txt
addStrainTensors v2.0.2	--logarithmic --left postProc/geom_load.txt
addMises v2.0.2	--stress Cauchy --strain ln(V) postProc/geom_load.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	totalshear	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	0.5	0.5	0.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.01077506889e-06	2.95957613276e-08	-7.83238653211e-08	2.95957613276e-08	2.74001286204e-06	2.26460880134e-09	-7.83238653211e-08	2.26460880134e-09	2.75548668069e-06	0.0	3.01077506889e-06	2.95957613276e-08	-7.83238653211e-08	2.95957613276e-08	2.74001286204e-06	2.26460880134e-09	-7.83238653211e-08	2.26460880134e-09	2.75548668069e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0068069891e-07
1	nan	nan	1	1	0.5	0.5	0.5	1.00006	6.6497566431e-23	-4.7757240354e-22	2.2068920249e-24	0.999979207672	4.23280799854e-22	2.36037280262e-24	-2.01298117915e-23	0.999979301172	4212824.25071	833.812369332	1711.46322133	833.744995931	-5.50157434491	-756.990249479	1711.32510554	-756.990321148	3.04624083512	7.1941090305e-28	4212999.0511	833.779601852	1711.39612361	833.779590051	-5.50135814192	-756.960571762	1711.39611261	-756.96057265	3.04612140759	5.99982000719e-05	0.0	0.0	0.0	-2.07925441637e-05	0.0	0.0	0.0	-2.06990422237e-05	5.38293559127e-05	4213001.77305
2	nan	nan	1	1	0.5	0.5	0.5	1.00012	-6.23616633683e-23	8.89868624522e-22	1.29893205565e-24	0.999958414998	3.37646704796e-21	2.06714373782e-24	6.9103508478e-23	0.999958601672	8426580.56957	1667.68340124	3423.52348976	1667.41398424	180.278588246	-1514.11386178	3422.9710136	-1514.11416142	180.092118227	7.54152692625e-22	8427279.87881	1667.55233712	3423.2550723	1667.55236042	180.264420057	-1513.99514941	3423.25508081	-1513.99516639	180.07799831	0.000119992800576	0.0	0.0	0.0	-4.15858666802e-05	0.0	0.0	0.0	-4.13991849346e-05	0.000107656938208	8427102.69646
3	nan	nan	1	1	0.5	0.5	0.5	1.00018	2.89674773107e-23	-5.20029387184e-21	-1.52511425439e-24	0.999937616788	-1.5036156364e-21	-4.63673507427e-25	-1.12428708648e-22	0.99993789683	12640581.8913	2501.85599201	5135.71350994	2501.24968429	-233.947325421	-2270.893962	5134.47035863	-2270.89458345	-234.381867496	2.51284025341e-18	12642155.6185	2501.56109385	5135.10959251	2501.56108489	-233.919749639	-2270.62692365	5135.10958995	-2270.62690912	-234.354306127	0.000179983801944	0.0	0.0	0.0	-6.23851579135e-05	0.0	0.0	0.0	-6.21050984819e-05	0.000161486034377	12642394.2384
4	nan	nan	1	1	0.5	0.5	0.5	1.00024	-7.49697053612e-23	-4.55307997248e-21	-5.44129746695e-24	0.999916820824	1.4506890019e-20	6.56897728641e-24	-5.15905439466e-23	0.999917194253	16855863.088	3335.9964636	6848.17037213	3334.9185862	-11.3919298907	-3027.91617281	6845.96026644	-3027.91730675	-10.3241871925	7.94880892071e-16	16858661.2555	3335.47221282	6847.09674147	3335.47220132	-11.3901396526	-3027.44146738	6847.0967341	-3027.44147052	-10.3225686049	0.000239971204607	0.0	0.0	0.0	-8.31826355795e-05	0.0	0.0	0.0	-8.28091755852e-05	0.000215311514755	16858678.0886
5	nan	nan	1	1	0.5	0.5	0.5	1.0003	5.13692085093e-23	-1.06958265989e-20	1.64143652803e-24	0.999896021954	3.32017979027e-21	1.16273806026e-23	-4.82139668368e-23	0.999896488728	21071748.4123	4170.4905086	8561.07360265	4168.80623014	9.1282054161	-3784.93290815	8557.62015263	-3784.93467497	8.40251354731	6.95596547133e-14	21076121.2555	4169.67134466	8559.39604011	4169.67134753	9.12641246233	-3784.19124163	8559.39604375	-3784.19124156	8.40086705499	0.000299955008998	0.0	0.0	0.0	-0.000103983452092	0.0	0.0	0.0	-0.000103516629661	0.000269136834868	21076119.9626
6	nan	nan	1	1	0.5	0.5	0.5	1.00036	-6.78998960632e-23	-2.8721326455e-21	-1.49926486025e-24	0.999875221231	-3.11673253757e-21	7.77743646256e-24	5.25211221357e-23	0.999875781409	25288378.1198	5005.10475333	10274.2427326	5002.67925702	5.81763608802	-4541.94402757	10269.269541	-4541.94657256	5.93155194756	2.70733991797e-12	25294676.0353	5003.92514458	10271.8270422	5003.92514361	5.81626498096	-4540.87612108	10271.8270396	-4540.87612145	5.93015731504	0.000359935215548	0.0	0.0	0.0	-0.000124786554518	0.0	0.0	0.0	-0.000124226306768	0.00032296125944	25294679.1266
7	nan	nan	1	1	0.5	0.5	0.5	1.00042	2.98314933099e-22	-5.35157421988e-21	1.20328929732e-23	0.999854418821	1.06360490671e-20	6.59159550628e-24	7.52346616511e-23	0.999855072393	29505768.1108	5839.88387769	11987.7416932	5836.58233559	2.28969175741	-5298.9560951	11980.9723298	-5298.95955906	2.26856256065	6.03074299071e-11	29514341.6637	5838.27828389	11984.4536663	5838.27828355	2.28906223892	-5297.50268457	11984.453666	-5297.50268478	2.26794033381	0.000419911824688	0.0	0.0	0.0	-0.000145591776969	0.0	0.0	0.0	-0.000144938110021	0.000376784701125	29514349.8433
8	nan	nan	1	1	0.5	0.5	0.5	1.00048	3.22083451013e-22	-5.83811151643e-21	7.90991460754e-24	0.999833614744	-2.38162552825e-20	-1.91220893168e-23	5.09265376346e-22	0.999834361723	33723922.6211	6674.83285777	13701.558908	6670.52041358	3.40894491782	-6055.98295566	13692.7168998	-6055.98748053	3.34994223205	8.93047803378e-10	33735122.5459	6672.73573559	13697.2643379	6672.73573497	3.40787388366	-6054.08478892	13697.2643364	-6054.08478934	3.34889223753	0.000479884836851	0.0	0.0	0.0	-0.000166399099562	0.0	0.0	0.0	-0.000165651996534	0.000430607139303	33735131.1191
9	nan	nan	1	1	0.5	0.5	0.5	1.00054	4.47194518661e-24	-1.21737204725e-20	3.3604212385e-23	0.999812808353	1.3863169019e-20	-6.40418739875e-24	8.02914493802e-23	0.999813648869	37942594.8124	7510.90217158	15415.2975557	7505.44324832	-2.44308953816	-6814.27400214	15404.1066757	-6814.27973498	-2.37394843852	9.67704230822e-09	37956771.9664	7508.24764384	15409.8623852	7508.24763809	-2.44222609342	-6811.87140558	15409.862381	-6811.87140984	-2.37311142487	0.000539854252467	0.0	0.0	0.0	-0.000187209169544	0.0	0.0	0.0	-0.00018636849653	0.000484428966819	37956787.8199
